date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:56	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Nov%202022%2007:53:50%20GMT	http://www.royal-jp.com/robots.txt		(from )
13:22:56	7425/7425	---M--	200	added ('OK')	text/html	etag:%221d01-5de4fd3dc3849%22	http://www.royal-jp.com/english/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/english/index.html	(from )
13:22:58	233601/233601	---M--	200	added ('OK')	text/css	etag:%2239081-583518ca17b15%22	http://www.royal-jp.com/css/bootstrap.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/css/bootstrap.css	(from http://www.royal-jp.com/english/)
13:23:00	23742/23742	---M--	200	added ('OK')	text/css	etag:%225cbe-583518ca57e71%22	http://www.royal-jp.com/css/font-awesome.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/css/font-awesome.min.css	(from http://www.royal-jp.com/english/)
13:23:01	648/648	---M--	200	added ('OK')	text/css	etag:%22288-583518ca97de5%22	http://www.royal-jp.com/css/gutter.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/css/gutter.css	(from http://www.royal-jp.com/english/)
13:23:02	75599/75599	---M--	200	added ('OK')	text/css	etag:%221274f-583518c9cf2e8%22	http://www.royal-jp.com/css/animate.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/css/animate.css	(from http://www.royal-jp.com/english/)
13:23:03	2706/2706	---M--	200	added ('OK')	text/css	etag:%22a92-583518cb61c6b%22	http://www.royal-jp.com/css/superfish.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/css/superfish.css	(from http://www.royal-jp.com/english/)
13:23:04	1854/1854	---M--	200	added ('OK')	text/css	etag:%2273e-583517c7293ca%22	http://www.royal-jp.com/jq/slick/slick.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/jq/slick/slick.css	(from http://www.royal-jp.com/english/)
13:23:04	3349/3349	---M--	200	added ('OK')	text/css	etag:%22d15-583517c6e84b5%22	http://www.royal-jp.com/jq/slick/slick-theme.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/jq/slick/slick-theme.css	(from http://www.royal-jp.com/english/)
13:23:06	63046/63046	---M--	200	added ('OK')	text/css	etag:%22f646-5e9ee68965fda%22	http://www.royal-jp.com/css/style.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day14/Web70/Site70/www.royal-jp.com/css/style.css	(from http://www.royal-jp.com/english/)
